resort|confirmation_no|resv_status|business_date|market_code|country_code|no_rooms_cal|rev_cal
Example|590128|CHECKED OUT|2/7/23|test12|CH|1|2827.1
Example|590186|CHECKED OUT|2/7/23|test12|IN|1|2519.4
Example|593033|CHECKED OUT|2/7/23|test20|IN|1|2303.74
Example|593059|CHECKED OUT|2/7/23|test7|OM|1|3811.93
Example|590060|CHECKED OUT|2/7/23|test6|AU|1|3077.1
Example|590089|CHECKED OUT|2/7/23|test12|GB|1|3077.1
Example|592385|CHECKED OUT|2/7/23|test20|IN|1|2048.85
Example|593060|CHECKED OUT|2/7/23|test7|OM|1|3575
Example|575543|CHECKED OUT|2/7/23|test15|SG|1|2550.24
Example|575545|CHECKED OUT|2/7/23|test15|SG|1|1260.53
Example|580204|CHECKED OUT|2/7/23|test22|IN|1|3028.22
Example|592453|CHECKED OUT|2/7/23|test20|KR|1|2053.74
Example|593644|CHECKED OUT|2/7/23|test33|CN|0|-625
Example|590208|CHECKED OUT|2/7/23|test10|GB|1|3639.01
Example|590275|CHECKED OUT|2/7/23|test14|IN|1|3639.02
Example|582145|CHECKED OUT|2/7/23|test22|JP|1|3037.81
Example|582146|CHECKED OUT|2/7/23|test22|JP|1|3037.82
Example|582147|CHECKED OUT|2/7/23|test22|JP|1|3037.82
Example|582148|CHECKED OUT|2/7/23|test22|JP|1|3037.82
Example|591324|CHECKED OUT|2/7/23|test9|SG|1|3295.32
Example|591345|CHECKED OUT|2/7/23|test9|KR|1|2041.29
Example|591348|CHECKED OUT|2/7/23|test9|KR|1|2041.29
Example|590445|CHECKED OUT|2/7/23|test9|JP|1|2737.67
Example|590451|CHECKED OUT|2/7/23|test21|SG|1|4500
Example|590455|CHECKED OUT|2/7/23|test9|IN|1|2643.58
Example|593123|CHECKED OUT|2/7/23|test9|PH|1|2284.41
Example|593155|CHECKED OUT|2/7/23|test17|SA|1|3066.22
Example|593162|CHECKED OUT|2/7/23|test9|CN|1|2194.56
Example|591935|CHECKED OUT|2/7/23|test8|KR|1|1641.99
Example|592183|CHECKED OUT|2/7/23|test19|QA|1|3734.8
Example|593500|CHECKED OUT|2/7/23|test11|BD|1|2835
Example|588597|CHECKED OUT|2/7/23|test9|IN|1|2900.91
Example|588598|CHECKED OUT|2/7/23|test32|TH|1|2048.85
Example|593501|CHECKED OUT|2/7/23|test11|BD|1|2835
Example|593505|CHECKED OUT|2/7/23|test11|SA|1|3150
Example|593509|CHECKED OUT|2/7/23|test4|US|1|2924
Example|593518|CHECKED OUT|2/7/23|test6|TH|1|2835
Example|593539|CHECKED OUT|2/7/23|test20|TH|1|2218.77
Example|589765|CHECKED OUT|2/7/23|test12|FR|1|3639
Example|589835|CHECKED OUT|2/7/23|test12|BD|1|5007.11
Example|589918|CHECKED OUT|2/7/23|test10|SE|1|5639
Example|592283|CHECKED OUT|2/7/23|test14|AT|1|3870
Example|591148|CHECKED OUT|2/7/23|test11|SE|1|2456.49
Example|592963|CHECKED OUT|2/7/23|test12|TH|1|2551.5
Example|593196|CHECKED OUT|2/7/23|test17|TH|1|2390
Example|593200|CHECKED OUT|2/7/23|test4|TH|1|2380
Example|592721|CHECKED OUT|2/7/23|test6|TH|1|3653.35
Example|592054|CHECKED OUT|2/7/23|test11|QA|1|3233.01
Example|592055|CHECKED OUT|2/7/23|test11|QA|1|3233.01
Example|593373|CHECKED OUT|2/7/23|test20|SG|1|2048.85
Example|593374|CHECKED OUT|2/7/23|test20|SG|1|2048.85
Example|593381|CHECKED OUT|2/7/23|test20|IN|1|2388.7
Example|590656|CHECKED OUT|2/7/23|test12|SA|1|3359.92
Example|586276|CHECKED OUT|2/7/23|test11|TH|1|3162.67
Example|591196|CHECKED OUT|1/7/23|test9|CN|1|2576.43
Example|592914|CHECKED OUT|1/7/23|test20|KR|1|2303.74
Example|592917|CHECKED OUT|1/7/23|test20|BH|1|2303.74
Example|580816|CHECKED OUT|1/7/23|test32|GB|1|3318.39
Example|591197|CHECKED OUT|1/7/23|test9|CN|1|2576.43
Example|592813|CHECKED OUT|1/7/23|test25|SA|1|3738.32
Example|591260|CHECKED OUT|1/7/23|test8|TW|1|2162.4
Example|591265|CHECKED OUT|1/7/23|test11|KW|1|2909
Example|591918|CHECKED OUT|1/7/23|test11|JP|1|2965.7
Example|592918|CHECKED OUT|1/7/23|test20|BH|1|2303.74
Example|591233|CHECKED OUT|1/7/23|test15|SA|1|1430.55
Example|592949|CHECKED OUT|1/7/23|test11|ZA|1|3600
Example|592351|CHECKED OUT|1/7/23|test11|BD|1|3748
Example|592171|CHECKED OUT|1/7/23|test11|BD|1|3307.27
Example|592172|CHECKED OUT|1/7/23|test11|BG|1|3307.27
Example|589458|CHECKED OUT|2/7/23|test11|US|1|4622.7
